"","Order_Number","Sex","Age","Age_Group","Price","Monthly_Install","Delivery","CB","CB_Class","SP","SP_Class","Payment","Previous_Contracts","Periods","Overdue","default","Previous_Contracts_YN"
"2802",564350,"Female",37,"30s",3534000,353400,"Install",6,"CB.Class 2",4,"SP.Class 2","CMS",0,6,0,"No","No"
"2816",564757,"Female",41,"40s",1734000,173400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2817",564219,"Female",41,"40s",2454000,245400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2818",564202,"Female",53,"50s",3774000,377400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2826",564915,"Female",44,"40s",1734000,173400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2827",564153,"Female",44,"40s",2214000,221400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2828",564130,"Female",57,"50s",2574000,257400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2829",564124,"Female",64,"60s",1734000,173400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2833",564053,"Female",51,"50s",4194000,419400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2840",564641,"Male",49,"40s",1734000,173400,"Install",3,"CB.Class 1",2,"SP.Class 2","CMS",0,6,0,"No","No"
"2841",564006,"Male",49,"40s",2994000,299400,"Install",3,"CB.Class 1",2,"SP.Class 2","CMS",0,6,0,"No","No"
"2845",563872,"Male",52,"50s",2454000,245400,"Install",5,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"2848",564652,"Female",39,"30s",2394000,239400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2854",563697,"Female",43,"40s",4554000,455400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2874",564823,"Female",55,"50s",2214000,221400,"Install",6,"CB.Class 2",3,"SP.Class 2","CMS",2,6,0,"No","Yes"
"2876",563599,"Female",55,"50s",2274000,227400,"Install",6,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"2879",563579,"Male",49,"40s",2154000,215400,"Install",5,"CB.Class 2",4,"SP.Class 2","CMS",0,6,0,"No","No"
"2888",563566,"Male",44,"40s",2454000,245400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2889",563480,"Male",44,"40s",2514000,251400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2891",563609,"Female",49,"40s",3954000,395400,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"2892",563447,"Female",49,"40s",2754000,275400,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"2893",563443,"Female",68,"60s",2274000,227400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2894",563434,"Male",48,"40s",2454000,245400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2900",563356,"Male",41,"40s",2994000,299400,"Install",5,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2902",563354,"Male",50,"50s",2994000,299400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2903",563336,"Female",44,"40s",2394000,239400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2909",563596,"Male",48,"40s",2154000,215400,"Install",4,"CB.Class 2",1,"SP.Class 1","CMS",0,6,0,"No","No"
"2913",563616,"Male",49,"40s",2094000,209400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2914",563227,"Male",49,"40s",4554000,455400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2920",563123,"Female",51,"50s",2454000,245400,"Install",6,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"2924",563540,"Female",43,"40s",2574000,257400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2925",563053,"Female",43,"40s",2514000,251400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2926",563553,"Female",39,"30s",2094000,209400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2927",563040,"Female",39,"30s",2754000,275400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2929",563529,"Female",54,"50s",2514000,251400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2930",563030,"Female",54,"50s",3534000,353400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2931",563001,"Male",34,"30s",3774000,377400,"Install",1,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"2932",562999,"Male",56,"50s",1434000,143400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2940",562976,"Female",58,"50s",2094000,209400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2946",563503,"Male",49,"40s",2274000,227400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2947",562858,"Male",49,"40s",2454000,245400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2948",563541,"Female",47,"40s",2214000,221400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2952",563605,"Female",49,"40s",2574000,257400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2953",562839,"Female",48,"40s",3174000,317400,"Install",5,"CB.Class 2",3,"SP.Class 2","CMS",0,6,0,"No","No"
"2954",563593,"Male",47,"40s",2574000,257400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2955",562827,"Male",47,"40s",2514000,251400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2957",563607,"Female",46,"40s",2574000,257400,"Install",5,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"2958",562796,"Female",46,"40s",2514000,251400,"Install",5,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"2961",562791,"Female",44,"40s",2214000,221400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2963",563536,"Female",56,"50s",2454000,245400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2964",562779,"Female",56,"50s",4554000,455400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"2965",562768,"Female",66,"60s",2094000,209400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",1,6,0,"No","Yes"
"2966",563531,"Female",50,"50s",2274000,227400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2967",562761,"Female",50,"50s",2994000,299400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2971",562734,"Male",52,"50s",2094000,209400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2978",563510,"Female",58,"50s",2094000,209400,"Install",4,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2979",562633,"Female",58,"50s",2994000,299400,"Install",4,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2982",562604,"Female",37,"30s",2994000,299400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2983",562550,"Male",45,"40s",2334000,233400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2984",562538,"Male",45,"40s",2094000,209400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"2987",562513,"Male",32,"30s",2454000,245400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2988",562510,"Female",48,"40s",2994000,299400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2989",562509,"Female",47,"40s",2754000,275400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"2990",562491,"Female",55,"50s",3114000,311400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2994",562554,"Female",50,"50s",2454000,245400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2995",562455,"Female",50,"50s",2094000,209400,"Install",3,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2998",562438,"Male",49,"40s",2994000,299400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"2999",562409,"Female",59,"50s",2334000,233400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3000",562389,"Female",59,"50s",2274000,227400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3005",562344,"Male",49,"40s",2514000,251400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3006",562421,"Male",58,"50s",1854000,185400,"Install",5,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3007",562320,"Male",58,"50s",2994000,299400,"Install",5,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3008",562312,"Female",33,"30s",4554000,455400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3009",562246,"Male",37,"30s",2994000,299400,"Install",5,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3015",562185,"Female",47,"40s",2094000,209400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3016",562135,"Female",46,"40s",2154000,215400,"Install",4,"CB.Class 2",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3018",562123,"Female",57,"50s",2994000,299400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3019",562122,"Female",40,"40s",2274000,227400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3021",562435,"Male",49,"40s",3414000,341400,"Install",2,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3022",562097,"Male",49,"40s",1854000,185400,"Install",2,"CB.Class 1",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3023",562070,"Female",52,"50s",3174000,317400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3025",562486,"Male",59,"50s",2994000,299400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3026",562062,"Male",59,"50s",2274000,227400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3031",562015,"Female",67,"60s",2454000,245400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3033",562574,"Female",51,"50s",2574000,257400,"Install",4,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3036",561964,"Female",50,"50s",2094000,209400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3038",562454,"Female",51,"50s",2274000,227400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3039",561952,"Female",51,"50s",2994000,299400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3040",561932,"Female",61,"60s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3041",562479,"Male",40,"40s",1854000,185400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3043",561870,"Female",52,"50s",3114000,311400,"Install",5,"CB.Class 2",2,"SP.Class 2","CMS",1,6,0,"No","Yes"
"3044",562424,"Male",50,"50s",2214000,221400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3045",561815,"Male",50,"50s",2274000,227400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3046",562411,"Male",49,"40s",2574000,257400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3047",561811,"Male",49,"40s",2214000,221400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3048",561765,"Male",42,"40s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3049",561752,"Female",52,"50s",2454000,245400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3052",561650,"Female",46,"40s",2454000,245400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3053",561635,"Male",44,"40s",2994000,299400,"Install",2,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3054",561623,"Male",61,"60s",1854000,185400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3058",561598,"Male",43,"40s",2994000,299400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3061",561564,"Male",58,"50s",3114000,311400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3065",561518,"Male",52,"50s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3066",562431,"Male",57,"50s",2214000,221400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3067",561487,"Male",57,"50s",1854000,185400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3068",561472,"Male",42,"40s",2154000,215400,"Install",5,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3072",562430,"Female",49,"40s",2274000,227400,"Install",1,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3073",561459,"Female",49,"40s",3954000,395400,"Install",1,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3075",562514,"Female",64,"60s",2574000,257400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3076",561433,"Female",64,"60s",2514000,251400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3080",561335,"Male",54,"50s",2274000,227400,"Install",3,"CB.Class 1",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3081",561295,"Male",57,"50s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3086",561264,"Male",50,"50s",2514000,251400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3087",561262,"Male",50,"50s",2574000,257400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3091",561259,"Female",44,"40s",2454000,245400,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3092",561258,"Female",44,"40s",2154000,215400,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3093",561251,"Male",36,"30s",2994000,299400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3094",561245,"Female",50,"50s",2994000,299400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3095",561260,"Male",46,"40s",2454000,0,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3096",561237,"Female",42,"40s",1854000,185400,"Install",7,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3101",561207,"Female",62,"60s",2574000,42900,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,5,"Yes","No"
"3102",561200,"Female",62,"60s",2514000,41900,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,5,"Yes","No"
"3104",561208,"Female",41,"40s",2454000,40900,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,5,"Yes","No"
"3105",561198,"Female",41,"40s",2274000,37900,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,5,"Yes","No"
"3106",561160,"Female",42,"40s",2574000,0,"Install",4,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3108",561071,"Female",45,"40s",2994000,299400,"Install",7,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3109",561218,"Female",60,"60s",3534000,353400,"Install",6,"CB.Class 2",4,"SP.Class 2","CMS",0,6,0,"No","No"
"3110",561038,"Female",60,"60s",4554000,455400,"Install",6,"CB.Class 2",4,"SP.Class 2","CMS",0,6,0,"No","No"
"3115",561212,"Female",52,"50s",3414000,341400,"Install",4,"CB.Class 2",1,"SP.Class 1","CMS",1,6,0,"No","Yes"
"3116",560969,"Female",52,"50s",2994000,299400,"Install",4,"CB.Class 2",1,"SP.Class 1","CMS",1,6,0,"No","Yes"
"3119",560942,"Male",52,"50s",2994000,299400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3120",560900,"Female",50,"50s",2454000,245400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3122",561192,"Female",58,"50s",2574000,0,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3123",560818,"Female",58,"50s",2274000,0,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3124",560817,"Male",57,"50s",2454000,245400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3126",561214,"Male",48,"40s",2754000,275400,"Install",4,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3127",560795,"Male",48,"40s",3354000,335400,"Install",4,"CB.Class 2",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3128",560747,"Male",36,"30s",2274000,0,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3129",560751,"Male",41,"40s",2574000,0,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3130",560740,"Male",41,"40s",2274000,0,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3131",560734,"Female",47,"40s",2154000,215400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3134",560706,"Female",45,"40s",2874000,287400,"Install",5,"CB.Class 2",4,"SP.Class 2","CMS",0,6,0,"No","No"
"3135",560703,"Female",45,"40s",2454000,245400,"Install",5,"CB.Class 2",4,"SP.Class 2","CMS",0,6,0,"No","No"
"3137",560704,"Female",45,"40s",3414000,341400,"Install",4,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3138",560702,"Female",45,"40s",2994000,299400,"Install",4,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3139",560651,"Female",40,"40s",2274000,227400,"Install",6,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3140",560644,"Female",59,"50s",2214000,221400,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3142",560685,"Female",48,"40s",2574000,257400,"Install",5,"CB.Class 2",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3143",560623,"Female",48,"40s",2514000,251400,"Install",5,"CB.Class 2",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3144",562483,"Female",49,"40s",2274000,0,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3145",560621,"Female",49,"40s",2454000,0,"Install",5,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3146",560784,"Male",40,"40s",4794000,479400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3147",560593,"Male",40,"40s",2454000,245400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3149",560672,"Female",56,"50s",2994000,299400,"Install",3,"CB.Class 1",3,"SP.Class 2","CMS",0,6,0,"No","No"
"3150",560590,"Female",56,"50s",3414000,341400,"Install",3,"CB.Class 1",3,"SP.Class 2","CMS",0,6,0,"No","No"
"3151",560588,"Female",57,"50s",4794000,479400,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3152",560728,"Female",61,"60s",2094000,209400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3153",560560,"Female",61,"60s",1434000,143400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3154",560556,"Male",46,"40s",3954000,395400,"Install",6,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3155",560528,"Female",44,"40s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3156",560495,"Male",45,"40s",2454000,245400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3157",560471,"Male",43,"40s",2994000,299400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3158",560401,"Female",56,"50s",2994000,299400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",1,6,0,"No","Yes"
"3164",560680,"Female",64,"60s",2154000,215400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3165",560366,"Female",64,"60s",1794000,179400,"Install",2,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3168",560344,"Male",42,"40s",1854000,185400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3169",560340,"Female",52,"50s",2994000,299400,"Install",5,"CB.Class 2",4,"SP.Class 2","creditCard",0,6,0,"No","No"
"3170",560304,"Female",44,"40s",2874000,0,"Install",6,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,6,"Yes","No"
"3172",560693,"Male",54,"50s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3173",560285,"Male",54,"50s",3414000,341400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3175",560752,"Male",51,"50s",2454000,245400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3176",560268,"Male",51,"50s",2274000,227400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3178",560688,"Female",33,"30s",2574000,257400,"Install",6,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3179",560225,"Female",33,"30s",1014000,101400,"Install",6,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3180",560198,"Female",41,"40s",4194000,419400,"Install",5,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3181",560181,"Male",49,"40s",2454000,245400,"Install",2,"CB.Class 1",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3182",560158,"Female",62,"60s",2454000,245400,"Install",6,"CB.Class 2",2,"SP.Class 2","CMS",0,6,0,"No","No"
"3183",560721,"Female",61,"60s",2274000,227400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3184",560153,"Female",61,"60s",2214000,221400,"Install",3,"CB.Class 1",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3185",560148,"Male",36,"30s",4194000,419400,"Install",7,"CB.Class 2",3,"SP.Class 2","creditCard",0,6,0,"No","No"
"3186",560722,"Female",62,"60s",2454000,245400,"Install",4,"CB.Class 2",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3187",560110,"Female",62,"60s",2154000,215400,"Install",4,"CB.Class 2",1,"SP.Class 1","CMS",0,6,0,"No","No"
"3188",560108,"Female",48,"40s",1014000,101400,"Install",2,"CB.Class 1",3,"SP.Class 2","CMS",0,6,0,"No","No"
"3189",560103,"Female",53,"50s",3174000,317400,"Install",4,"CB.Class 2",2,"SP.Class 2","creditCard",0,6,0,"No","No"
"3190",560775,"Male",44,"40s",3534000,353400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
"3192",560694,"Male",44,"40s",3354000,335400,"Install",1,"CB.Class 1",1,"SP.Class 1","creditCard",0,6,0,"No","No"
